player_code,last_season,full_name,team,shirt_number,position,height,birthdate,nationality
AYC,2004,"EINIKIS, GINTARAS",Unicaja,41,Forward,2.08,1969-09-30,Lithuania
001240,2009,"EIZAGUIRRE, UNAI",Caja Laboral,0,Guard,1.82,1988-08-27,Spain
LAW,2006,"EKEZIE, OBINNA",Dynamo Moscow,19,Center,2.08,1975-08-22,Nigeria
ATY,2001,"EKIM, EMRE",,,,2.08,1980-10-08,Turkey
ARP,2002,"EKMEN, ENVER",Efes Pilsen,,Forward,2.06,1983-08-15,Turkey
AGV,2001,"EKONOMOU, NIKOLAOS",FC Barcelona,8,Forward,2.08,1973-02-19,Greece
008174,2020,"EKSIOGLU, MERT",Fenerbahce Beko Istanbul,53,Guard,1.82,2002-01-02,Turkey
000317,2010,"EL-AMIN, KHALID",Lietuvos Rytas Vilnius,42,Guard,1.78,1979-04-25,United States of America
003064,2010,"ELDRIDGE, COURTNEY",Asseco Prokom Gdynia,23,Guard,1.76,1980-06-10,United States of America
004857,2014,"ELEGAR, FRANK",EA7 Emporio Armani Milan,15,,2.03,1986-12-03,United States of America
AWL,2001,"ELEY, WILLIAM KEITH",Ulker,10,Center,2.08,1975-01-14,United States of America
JEP,2005,"ELIANTONIO, GIACOMO",Montepaschi Siena,17,Forward,2.04,1988-07-11,Italy
LGD,2012,"ELIYAHU, LIOR",Maccabi Electra Tel Aviv,8,Forward,2.05,1985-09-09,Israel
AWD,2001,"ELLIOT, ERIC",Telindus Oostende,14,Guard,1.82,1969-09-26,United States of America
KGC,2004,"ELLIOTT, RODNEY",,,,2.03,1976-03-04,United States of America
009580,2020,"ELLIS, OCTAVIUS",Olympiacos Piraeus,32,Center,2.08,1993-03-10,United States of America
AKB,2001,"ELLIS, RONALD",Spirou Basket,4,Forward,2.0,1967-09-18,Belgium
CNP,2006,"ELLIS, TYRONE",Eldo Napoli,25,Guard,1.92,1977-10-05,United States of America
ADE,2000,"ELSON, FRANCISCO",FC Barcelona,9,Center,2.11,1976-02-28,Netherlands
AZY,2001,"ENGELLANT, DARREN",Spirou Basket,15,Center,2.09,1970-04-15,United States of America
000416,2009,"ENGLISH, CARL",Caja Laboral,23,Forward,1.92,1981-02-02,Canada
005158,2013,"ENGLISH, KIM",Montepaschi Siena,24,Guard,1.98,1988-09-24,United States of America
008066,2017,"ENNIS, DYLAN",Crvena Zvezda mts Belgrade,31,Guard,1.88,1991-12-26,Serbia
008858,2018,"ENNIS, TYLER",Fenerbahce Beko Istanbul,11,Guard,1.88,1994-08-24,Canada
011239,2021,"ENOCH, STEVEN",Bitci Baskonia Vitoria-Gasteiz,23,Center,2.08,1997-09-18,United States of America
JSR,2007,"ENSMINGER, CHRIS",Brose Baskets,4,Center,,1973-12-08,United States of America
ASK,2001,"EPPEHEIMER, BRETT",Kinder London Towers,5,Guard,1.83,1976-05-28,United States of America
BUR,2002,"EPPEHIMER, NICK",Benetton Treviso,16,Forward,2.01,1979-01-01,Italy
DHF,2014,"ERCEG, ZORAN",Galatasaray Liv Hospital Istanbul,7,Center,2.11,1985-01-11,Serbia
BSU,2006,"ERDEN, CUNEYT",Efes Pilsen,11,Guard,1.85,1977-09-05,Turkey
JYB,2016,"ERDEN, SEMIH",Darussafaka Dogus Istanbul,9,Center,2.1,1986-07-28,Turkey
AWK,2002,"ERDENAY, HAKKI HARUN",Ulker,9,Guard,1.9,1968-05-22,Turkey
BLW,2003,"ERDMANN, NATHAN",Pau-Orthez,13,Guard,1.95,1973-11-21,United States of America
BDQ,2007,"ERDOGAN, SERKAN",Efes Pilsen,17,Guard,1.9,1978-08-30,Turkey
007360,2020,"ERIC, MICHAEL",CSKA Moscow,50,Center,2.1,1988-06-24,Nigeria
003151,2021,"ERIKSSON, MARCUS",ALBA Berlin,8,Guard,2.01,1993-12-05,Sweden
ANV,2000,"ERJAVEC, MLADEN",Union Olimpija Ljubljana,,Guard,1.95,1970-04-08,Croatia
JIR,2013,"ERMIS, BARIS",Fenerbahce Ulker Istanbul,9,Guard,1.94,1985-01-03,Turkey
JKA,2006,"ERMOLINSKIJ, PAVEL",Unicaja Malaga,19,Guard,2.02,1987-01-25,Iceland
000932,2011,"EROGLU, ERBIL",Fenerbahce Ulker,8,Guard,1.95,1993-01-21,Turkey
006712,2018,"ERSHOV, ALEKSANDR",CSKA Moscow,12,Guard,1.97,2000-08-27,Russian Federation
004097,2013,"ERULKU, TAYFUN",Anadolu Efes Istanbul,,Guard,1.96,1994-02-22,Turkey
AIQ,2008,"ESLAVA, ARIEL",Tau Ceramica,11,Forward,2.01,1979-04-11,Argentina
DIH,2003,"ESPOSITO, VINCENZO",Lottomatica Roma,16,Guard,,1969-03-01,Italy
JJG,2004,"ESPUNA, RAMON",FC Barcelona,18,Forward,2.06,1984-05-07,Spain
AZI,2002,"ESTELLER, ROGER",Unicaja,7,Guard,1.93,1972-07-06,Spain
005937,2014,"ESTIENNE, VALENTIN",Limoges CSP,,Guard,1.8,1994-02-15,France
DCC,2003,"EVANS, CHARLES LEE",Alba Berlin,13,Guard,1.8,1971-12-17,Germany
008946,2018,"EVANS, CHRISTOPHER",Herbalife Gran Canaria,23,Forward,2.03,1991-01-29,United States of America
007432,2021,"EVANS, JEREMY",Panathinaikos OPAP Athens,40,Forward,2.06,1987-10-24,United States of America
011218,2021,"EVANS, KEENAN",Maccabi Playtika Tel Aviv,2,Guard,1.9,1996-08-23,United States of America
BRY,2003,"EVANS, MAURICE",Benetton Basket,6,Guard,1.96,1978-11-08,United States of America
010654,2020,"EVSTIGNEEV, IVAN",Khimki Moscow Region,50,Guard,1.95,1999-03-26,Russian Federation
000354,2012,"EVTIMOV, ILIAN",Elan Chalon-Sur-Saone,32,Forward,2.01,1983-04-28,France
ASF,2006,"EVTIMOV, VASSIL",Climamio Bologna,11,Center,2.05,1977-05-30,France
000378,2012,"EWING, DANIEL",Besiktas JK Istanbul,4,Guard,1.91,1983-03-26,United States of America
011302,2021,"EXUM, DANTE LIMAN",FC Barcelona,1,Guard,1.98,1995-07-13,Australia
AMH,2000,"EYAL, ROEY",Hapoel Jerusalem,,Guard,1.91,1976-01-27,Israel
001176,2015,"EYENGA, CHRISTIAN",Dinamo Banco di Sardegna Sassari,31,Forward,2.03,1989-06-22,Democratic Republic of the Congo
CQO,2012,"EZE, BENJAMIN",Montepaschi Siena,8,Center,2.08,1981-02-08,Italy
LAB,2007,"EZERSKIS, ERNESTAS",Lietuvos Rytas,11,Guard,1.92,1987-05-05,Lithuania
BMJ,2006,"FAISON, MARCUS",Unicaja Malaga,24,Forward,1.95,1978-02-18,United States of America
BOZ,2006,"FAJARDO, DIEGO",Tau Ceramica Vitoria-Gasteiz,13,Forward,2.06,1976-03-11,Spain
001949,2012,"FALKER, RANDAL",Besiktas JK Istanbul,14,Forward,2.01,1985-07-22,United States of America
008811,2021,"FALL, MOUSTAPHA",Olympiacos Piraeus,10,Center,2.18,1992-02-23,France
006568,2021,"FALL, YOUSSOUPHA",LDLC ASVEL Villeurbanne,19,Center,2.21,1995-01-12,France
APF,2008,"FANAN, REGEV",Maccabi Electra,33,Guard,,1981-11-23,Israel
011284,2021,"FARIED, KENNETH",CSKA Moscow,35,Forward,2.03,1989-11-19,United States of America
003423,2015,"FARMAR, JORDAN",Maccabi FOX Tel Aviv,1,Guard,1.88,1986-11-30,United States of America
KFK,2004,"FARMER, DESMON",Prokom Trefl Sopot,6,Guard,1.96,1981-10-07,United States of America
KVD,2008,"FASSLER, OSKAR",Alba Berlin,19,Guard,1.98,1988-07-08,Germany
006628,2015,"FAUCHE, VINCENT",Limoges CSP,10,Guard,1.91,1996-11-05,France
009103,2019,"FAURE, ALONSO",Valencia Basket,44,Forward,2.06,2002-02-20,Spain
AZB,2006,"FAUTHOUX, FREDERIC",Pau-Orthez,4,Guard,,1972-12-06,France
001215,2016,"FAVERANI, VITOR",FC Barcelona Lassa,13,Center,2.1,1988-05-05,Spain
010428,2021,"FAYE, IBRAHIMA",AS Monaco,28,Forward,2.09,1997-01-10,Senegal
008800,2019,"FAYE, MOUHAMMAD",Crvena Zvezda mts Belgrade,11,Forward,2.08,1985-09-14,Senegal
005918,2017,"FELDEINE, JAMES",Crvena Zvezda mts Belgrade,14,Guard,1.93,1988-06-26,United States of America
LIY,2006,"FELIX, NOEL",Maccabi Elite,5,Forward,2.06,1981-10-04,United States of America
AGW,2008,"FEMERLING, PATRICK",Alba Berlin,13,Center,2.13,1975-03-04,Germany
LPI,2007,"FENN, DARREN",Brose Baskets,10,Center,2.08,1980-02-17,United States of America
BHM,2006,"FERCHAUD, CEDRIC",Pau-Orthez,9,Forward,1.96,1980-07-15,France
BBK,2001,"FERNANDEZ, GABRIEL",Tau Ceramica,13,Forward,2.04,1976-10-23,Italy
TGX,2007,"FERNANDEZ, LUCHO",Tau Ceramica Vitoria-Gasteiz,11,Forward,2.02,1975-08-04,Spain
LIO,2010,"FERNANDEZ, MARC",Power Electronics Valencia,23,Forward,2.03,1987-07-23,Spain
AAE,2000,"FERNANDEZ, NICOLAS",Ovarense Aerosoles,8,Forward,2.09,1977-02-01,Spain
BMT,2021,"FERNANDEZ, RUDY",Real Madrid,5,Forward,1.96,1985-04-04,Spain
009101,2020,"FERRANDO, GUILLEM",Valencia Basket,45,Guard,1.85,2002-01-08,Spain
007636,2017,"FERRANDO, LUIS",Valencia Basket,13,Guard,1.85,1996-04-23,Spain
011281,2021,"FERRELL, YOGI",Panathinaikos OPAP Athens,11,Guard,1.82,1993-05-09,United States of America
AXQ,2001,"FERRI, CARLO",,,,,1753-01-01,
AVM,2001,"FERRI, MICHELE",Scavolini Pesaro,,Guard,1.85,1985-02-08,Italy
BGW,2002,"FERRIZ, ALBERTO",,,,,1753-01-01,
006527,2015,"FESENKO, KYRYLO",Lokomotiv Kuban Krasnodar,44,Center,2.16,1986-12-24,Ukraine
AYA,2001,"FETISOV, ANDREI",Idea Slask,12,Forward,2.08,1972-01-19,Russian Federation
CTI,2007,"FFRIEND, KIMANI",Brose Baskets,0,Center,2.11,1977-07-29,Jamaica
BAV,2001,"FIERS, JONATHAN",Telindus Oostende,,Forward,1.98,1983-11-11,Belgium
006081,2017,"FIGUERAS, POL",FC Barcelona Lassa,43,Guard,1.87,1998-03-21,Spain
002435,2011,"FILIPOVIC, ALEKSANDAR",Union Olimpija Ljubljana,0,,,1989-12-27,Slovenia
002861,2010,"FILIPOVIC, MARIO",Cibona Zagreb,25,Guard,1.96,1988-06-27,Croatia
CCP,2003,"FILLARI, LUCA",Lottomatica Roma,,Guard,1.8,1984-03-15,Italy
001230,2011,"FILLOY, ARIEL",EA7 Emporio Armani,14,Guard,1.9,1987-03-11,Italy
001202,2010,"FINLEY, MORRIS",Armani Jeans,,Milano,1.8,1981-08-02,United States of America
AQJ,2001,"FIRIC, GORDAN",,,,1.96,1970-09-01,Italy
KZY,2014,"FISCHER, DOR",Unics Kazan,40,Center,2.11,1981-10-12,United States of America
007852,2018,"FISCHER, LUKE",Herbalife Gran Canaria,40,Center,2.11,1994-10-29,United States of America
LBZ,2011,"FISHER, JOSH",Gescrap Bilbao Basket,4,Guard,1.89,1980-10-24,United States of America
KHU,2011,"FITCH, GERALD",Unicaja Malaga,4,Guard,1.91,1982-08-12,United States of America
007595,2016,"FITIPALDO , BRUNO",Galatasaray Odeabank Istanbul,6,Guard,1.84,1991-08-02,Italy
TFS,2008,"FIZER, MARCUS",Maccabi Electra,15,Forward,2.03,1978-08-10,United States of America
005670,2020,"FLACCADORI, DIEGO",FC Bayern Munich,12,Guard,1.93,1996-04-05,Italy
LGP,2006,"FLAMINI, SIMONE",Eldo Napoli,14,Forward,2.04,1982-04-02,Italy
LGZ,2006,"FLETCHER, KEVIN",Aris TT Bank,12,Center,2.06,1980-01-11,United States of America
CID,2006,"FLIS, DIMITRI",DKV Joventut,20,Center,2.03,1984-10-22,Russian Federation
010467,2021,"FLOYD, JEHYVE",Fenerbahce Beko Istanbul,25,Center,2.03,1997-06-27,United States of America
001258,2015,"FOFANA, BANGALY",Strasbourg,21,Center,2.12,1989-06-03,France
AJC,2009,"FOIREST, LAURENT",Asvel Basket,7,Forward,1.97,1973-09-18,France
006084,2018,"FONT, ALEIX",FC Barcelona Lassa,22,Forward,1.95,1998-03-11,Spain
004499,2021,"FONTECCHIO, SIMONE",Bitci Baskonia Vitoria-Gasteiz,20,Forward,2.03,1995-12-09,Italy
JCQ,2004,"FONTET, ALBERT",,,,2.12,1986-03-16,Spain
004246,2012,"FOOTE, JEFF",Zalgiris Kaunas,31,Center,2.13,1987-07-14,United States of America
ACF,2002,"FORD, ALPHONSO",Montepaschi Siena,10,Guard,1.92,1971-10-31,United States of America
LLX,2013,"FORD, SHARROD",Brose Baskets Bamberg,15,Forward,2.06,1982-09-09,United States of America
003672,2011,"FORD, TJ",Zagreb,11,Guard,1.83,1983-03-24,United States of America
005980,2015,"FORMENTI, MATTEO",Dinamo Banco di Sardegna Sassari,5,Forward,1.94,1982-04-15,Italy
ATZ,2004,"FORREST, JAMES",Scavolini Pesaro,15,Center,2.06,1972-08-13,United States of America
LMN,2014,"FORTE, JOSEPH",Maccabi Electra Tel Aviv,40,Guard,1.93,1981-03-23,United States of America
001907,2013,"FOSTER, JEKEL",JSF Nanterre,20,Guard,1.91,1983-07-22,United States of America
010386,2020,"FOSTER, MARCUS FRANKLEE",Panathinaikos OPAP Athens,17,Guard,1.91,1995-06-03,United States of America
BEZ,2016,"FOTSIS, ANTONIS",Panathinaikos Superfoods Athens,9,Forward,2.09,1981-04-02,Greece
JJR,2004,"FOX, RICARDO",,,,,1981-08-21,Spain
BSZ,2006,"FRAHM, RICHIE",Benetton Basket,14,Forward,1.96,1977-09-07,United States of America
000595,2008,"FRANCH, JOSEP",DKV Joventut,11,Guard,1.9,1991-01-28,Spain
AMA,2000,"FRANCO,  MARIANO",Adecco Estudiantes,,Forward,2.0,1980-02-04,Italy
005265,2013,"FRANCOIS, XAVIER",Strasbourg,17,Forward,2.03,1994-07-01,Belgium
LUL,2006,"FRANK, RAFAL",Prokom Trefl Sopot,20,Forward,1.98,1980-09-04,Poland
011223,2021,"FRANKAMP, CONNER",Zenit St Petersburg,33,Guard,1.85,1995-07-16,United States of America
003390,2011,"FRASUNKIEWICZ, PRZEMYSLAW",Asseco Prokom Gdynia,15,Forward,,1979-01-08,Poland
009842,2019,"FREDETTE, JIMMER",Panathinaikos OPAP Athens,32,Guard,1.87,1989-02-25,United States of America
LOO,2016,"FREELAND, JOEL",CSKA Moscow,19,Center,2.1,1987-02-07,United Kingdom
010389,2020,"FREEMAN, ALLERIK",LDLC ASVEL Villeurbanne,2,Guard,1.9,1994-10-30,United States of America
AOM,2005,"FREEMAN, REGGIE",Zalgiris,5,Forward,1.97,1975-05-17,United States of America
004808,2014,"FREESE, JANNIK",ALBA Berlin,35,Center,2.11,1986-08-13,Germany
LBE,2005,"FREIJE, MATT",,,,2.06,1981-10-02,United States of America
LLH,2020,"FRIDZON, VITALY",Zenit St Petersburg,7,Guard,1.94,1985-10-14,Russian Federation
AQM,2003,"FRIGOUT, DAVID",Asvel Basket,13,Forward,2.06,1973-08-05,France
002838,2011,"FROEHLICH, JEFERSON",Real Madrid,0,Guard,1.93,1991-01-12,Brazil
AKW,2004,"FROSINI, ALESSANDRO",Scavolini Pesaro,13,Center,2.09,1972-09-22,Italy
ADP,2007,"FUCKA, GREGOR",Lottomatica Roma,7,Forward,2.15,1971-08-07,Italy
000001,2007,"FUENTES, ADRIAN",Unicaja,0,,,1987-01-07,Spain
001562,2012,"FULLE, SEBASTIAN",Alba Berlin,10,Guard,1.92,1992-07-27,Germany
ALQ,2006,"FULTZ, ROBERT",Climamio Bologna,32,Guard,1.88,1982-02-14,Italy
005432,2014,"FUMAGALLI, CARLO",EA7 Emporio Armani Milan,,Guard,1.86,1996-04-25,Italy
JKN,2008,"GABINI, ROBERTO",Lottomatica Roma,22,Forward,1.98,1975-06-10,Italy
BIM,2015,"GABRIEL, GERMAN",Unicaja Malaga,14,Forward,,1980-11-16,Spain
005881,2017,"GABRIEL, KENNY",Panathinaikos Superfoods Athens,22,Forward,2.05,1989-07-03,United States of America
003396,2011,"GACIC, SANDRO",Caja Laboral,0,Guard,1.99,1996-07-05,Bosnia and Herzegovina
AZJ,2001,"GADOU, DIDIER",Pau-Orthez,10,Forward,2.03,1965-09-28,France
AZG,2005,"GADOU, THIERRY",Pau-Orthez,13,Forward,2.06,1969-01-13,France
TES,2007,"GADSON, CHEYNE",AJ Milano,20,Guard,1.92,1980-07-17,United States of America
004229,2013,"GAGIC, DJORDJE",Partizan NIS Belgrade,14,Center,2.1,1990-12-28,Serbia
BFL,2002,"GAGNEUR, YANNICK",Virtus Bologna,9,Forward,1.98,1980-03-15,France
002009,2014,"GAILIUS, DEIVIDAS",Neptunas Klaipeda,13,Forward,2.0,1988-04-26,Lithuania
004196,2012,"GAILLARD, VINCENT",Elan Chalon-Sur-Saone,6,Forward,2.0,1993-04-06,Switzerland
KSH,2008,"GAINES, CHARLES",Maccabi Electra,4,Forward,2.03,1981-10-15,United States of America
TEP,2007,"GAINES, REECE",AJ Milano,6,Guard,1.98,1981-01-07,United States of America
AUJ,2001,"GAJIC, ALEKSANDAR",Partizan,7,Guard,1.86,1983-01-14,Serbia
ADR,2005,"GALANDA, GIACOMO",AJ Milano,10,Forward,2.1,1975-01-30,Italy
005023,2014,"GALDIKAS, SIMAS",Neptunas Klaipeda,21,Forward,2.03,1987-01-03,Lithuania
LDO,2007,"GALLI, ANDREA",Montepaschi Siena,18,Forward,1.92,1989-07-01,Italy
KRD,2011,"GALLINARI, DANILO",EA7 Emporio Armani,8,Forward,2.08,1988-08-08,Italy
008851,2019,"GALLIOU, CHARLES",LDLC ASVEL Villeurbanne,11,Forward,2.02,1995-12-26,France
010039,2020,"GANAL, AARON",FC Barcelona,55,Guard,1.85,2004-03-25,Andorra
002848,2010,"GANETO, GABRIELE",Armani Jeans,,Milano,2.0,1987-07-23,Italy
004623,2017,"GANKEVICH, ALEXANDER",CSKA Moscow,10,Forward,2.01,1995-08-05,Russian Federation
AHV,2011,"GARBAJOSA, JORGE",Unicaja Malaga,15,Forward,2.05,1977-12-19,Spain
JJQ,2004,"GARCES, RUBEN",Adecco Estudiantes,24,Center,2.06,1973-10-17,Panama
000615,2007,"GARCIA, ALEX",Maccabi Elite Tel Aviv,12,Guard,1.91,1980-03-04,Brazil
000018,2010,"GARCIA, ANDER",Caja Laboral Vitoria,6,Guard,1.92,1989-04-05,Spain
003238,2010,"GARCIA, ANGEL LUIS",Unicaja Malaga,30,Center,2.09,1988-07-11,United States of America
AAQ,2003,"GARCIA, ASIER",Pamesa Valencia,13,Forward,2.06,1978-12-16,Spain
AJD,2000,"GARCIA, DANIEL",Tau Ceramica Vitoria-Gasteiz,5,Forward,2.06,1975-12-12,Spain
CKR,2005,"GARCIA, HECTOR",Real Madrid,13,Guard,1.94,1978-01-20,Spain
JCS,2011,"GARCIA, IVAN",FC Barcelona Regal,0,Forward,2.05,1986-09-16,Spain
004535,2017,"GARCIA, MARC",FC Barcelona Lassa,6,Guard,1.96,1996-03-07,Spain
KNJ,2005,"GARCIA, OSCAR",Tau Ceramica Vitoria-Gasteiz,16,Forward,2.03,1979-03-04,Spain
005458,2019,"GARCIA, SERGI",KIROLBET Baskonia Vitoria-Gasteiz,17,Forward,1.93,1997-02-17,Spain
BXR,2009,"GARDNER, JASON",EWE Baskets,22,Guard,1.78,1980-11-14,United States of America
007994,2020,"GARINO, PATRICIO",Zalgiris Kaunas,7,Forward,2.01,1993-05-17,Italy
JKJ,2004,"GARNETT, MARLON",Benetton Basket,12,Guard,1.88,1975-07-03,Belize
003476,2011,"GARRETT, DIANTE",Zagreb,21,Guard,1.93,1988-11-03,United States of America
BOF,2007,"GARRETT, ROBERT",Brose Baskets,12,Guard,1.94,1977-03-18,Germany
LHB,2007,"GARRI, LUCA",Virtus VidiVici,20,Forward,2.07,1982-01-03,Italy
KNX,2005,"GARRIS, KIWANE",Climamio Bologna,22,Guard,1.88,1974-09-24,United States of America
ARB,2003,"GARRIS, STEFANO",Alba Berlin,11,Guard,2.0,1979-04-21,Germany
010107,2021,"GARUBA, SEDIQ",Real Madrid,16,Forward,1.92,2004-02-02,Spain
007630,2020,"GARUBA, USMAN",Real Madrid,16,Center,2.03,2002-03-09,Spain
CAK,2005,"GASOL, MARC",Winterthur FC Barcelona,33,Center,2.15,1985-01-29,Spain
ADF,2020,"GASOL, PAU",FC Barcelona,16,Center,2.16,1980-07-06,Spain
004836,2015,"GATENS, MATT",Limoges CSP,8,Guard,1.95,1989-06-13,United States of America
BCT,2002,"GATLING, CHRIS",CSKA Moscow,14,Forward,2.08,1967-09-03,United States of America
001252,2015,"GAVEL, ANTON",FC Bayern Munich,25,Guard,,1984-10-24,Germany
004624,2018,"GAVRILOV, ALEXANDER",CSKA Moscow,9,Guard,1.95,1996-04-10,Russian Federation
JOD,2006,"GAY, DAN",Climamio Bologna,14,Center,2.06,1961-07-20,Italy
BGR,2002,"GAYON, NICOLAS",,,,,1753-01-01,
010516,2021,"GAZI, ERTEN",Anadolu Efes Istanbul,11,Guard,1.9,1997-06-15,Turkey
009753,2020,"GEBEN, MARTINAS",Zalgiris Kaunas,23,Center,2.08,1994-10-20,Lithuania
LTT,2013,"GECEVICIUS, MARTYNAS",Lietuvos Rytas Vilnius,13,Guard,1.93,1988-05-16,Lithuania
005686,2021,"GECIM, TOLGA",Anadolu Efes Istanbul,8,Forward,2.06,1996-03-27,Turkey
003392,2011,"GEE, ALONZO",Asseco Prokom Gdynia,33,Forward,1.98,1987-05-29,United States of America
BHN,2012,"GELABALE, MICKAEL",Cedevita Zagreb,20,Forward,2.02,1983-05-22,France
JHN,2004,"GENNARI, ANDREA",,,,,1984-01-22,Italy
000880,2016,"GENTILE, ALESSANDRO",EA7 Emporio Armani Milan,5,Guard,2.01,1992-11-12,Italy
BSL,2002,"GENTILE, NANDO",Montepaschi Siena,19,Guard,1.98,1967-01-01,Italy
TER,2007,"GENTILE, STEFANO",AJ Milano,16,Guard,1.91,1989-09-20,Italy
004243,2012,"GEORGAKIS, GEORGIOS",Olympiacos Piraeus,,Forward,2.05,1991-03-18,Greece
000406,2008,"GEORGALLIS, IOANNIS",Panionios On Telecoms,7,Forward,2.0,1983-05-17,Greece
008253,2021,"GEORGE, JASON",FC Bayern Munich,12,Guard,1.98,2001-05-21,Germany
LGB,2006,"GEORGE, NICK",Benetton Basket,8,Forward,1.98,1982-09-25,United States of America
JGT,2004,"GERGATI, FRANCESCO",Montepaschi Siena,,Guard,1.9,1987-09-20,Italy
008200,2017,"GERUN, VOLODYMYR",FC Barcelona Lassa,40,Center,2.08,1994-03-25,Ukraine
007122,2016,"GEYIK, SAMET",Anadolu Efes Istanbul,9,Forward,2.06,1993-01-12,Turkey
AKV,2000,"GHEDINI, GIANLUCA",Kinder Virtus Bologna,16,Guard,1.92,1982-02-17,Italy
ARM,2001,"GHERARDINI, MICHELE",,,,,1753-01-01,
KXO,2012,"GIACHETTI, JACOPO",EA7 Emporio Armani Milan,5,Guard,1.9,1983-12-07,Italy
003675,2011,"GIANELLA, NICO",Bennet Cantu,18,Guard,1.91,1978-02-14,Argentina
010795,2020,"GIANNOPOULOS, ALEXANDROS",Panathinaikos OPAP Athens,33,Guard,1.93,2003-09-01,Greece
LRH,2012,"GIANNOPOULOS, CHARIS",Panathinaikos Athens,17,Forward,2.06,1989-07-13,Greece
AIH,2008,"GIANNOULIS, YANNIS",Panionios On Telecoms,15,Center,2.04,1976-06-05,Greece
BDO,2003,"GIANNOUZAKOS, GEORGIOS",Olympiacos,9,Forward,1.98,1975-05-30,Greece
006702,2016,"GIARDINI, SAMUELE",EA7 Emporio Armani Milan,16,Guard,1.83,2000-05-17,Italy
002873,2010,"GIDDENS, JR",Asseco Prokom Gdynia,4,Guard,1.96,1985-02-13,United States of America
AVX,2002,"GIEDRAITIS, ANDRIUS",Idea Slask,7,Guard,1.96,1973-07-23,Lithuania
006436,2021,"GIEDRAITIS, ROKAS",Bitci Baskonia Vitoria-Gasteiz,31,Forward,2.0,1992-08-16,Lithuania
BDZ,2005,"GIFFA, SACHA",Strasbourg,31,Forward,,1977-06-14,France
001557,2021,"GIFFEY, NIELS",Zalgiris Kaunas,55,Forward,2.0,1991-06-08,Germany
CKY,2005,"GIGENA, MARIO",AJ Milano,18,Forward,1.96,1977-03-05,Italy
AVE,2004,"GIGENA, SILVIO",Scavolini Pesaro,8,Forward,2.0,1975-02-27,Italy
KWC,2014,"GIGLI, ANGELO",EA7 Emporio Armani Milan,6,Forward,2.09,1983-05-04,Italy
CUJ,2003,"GILBERT, CLARENCE",KRKA Novo Mesto,6,Guard,1.88,1980-01-15,United States of America
LFT,2006,"GILCHRIST, JOHN",Pau-Orthez,0,Guard,1.85,1984-06-29,United States of America
008001,2019,"GILL, ANTHONY",Khimki Moscow Region,13,Forward,2.04,1992-10-17,United States of America
CJX,2006,"GILL, EDDIE",Dynamo Moscow,8,Guard,1.83,1978-08-16,United States of America
ACQ,2009,"GINEVICIUS, VIDAS",Lietuvos Rytas,9,Guard,1.94,1978-05-11,Lithuania
AKX,2001,"GINOBILI, EMANUEL",Kinder Virtus Bologna,6,Forward,1.98,1977-07-28,Italy
000689,2007,"GIOVACCHINI, ANTHONY",AJ Milano,18,Guard,1.88,1979-09-09,Italy
BXA,2007,"GIOVANNONI, GUILHERME",Virtus VidiVici,12,Forward,2.02,1980-06-02,Italy
CSI,2012,"GIPSON, SERGERIO",Brose Baskets Bamberg,4,Guard,1.91,1980-02-15,United States of America
005024,2014,"GIRDZIUNAS, MINDAUGAS",Neptunas Klaipeda,8,Guard,1.88,1989-01-20,Lithuania
AFI,2009,"GIRICEK, GORDAN",Fenerbahce Ulker,10,Forward,2.01,1977-06-20,Croatia
002980,2021,"GIST, JAMES",LDLC ASVEL Villeurbanne,14,Center,2.04,1986-10-26,United States of America
KIX,2004,"GJINAJ, ANDREA",,,,,1986-05-26,Albania
BZW,2007,"GKAGKALOUDIS, IOANNIS",Lottomatica Roma,6,Guard,1.92,1978-08-22,Greece
005274,2013,"GLADYR, SERGII",JSF Nanterre,17,Forward,,1988-10-17,Ukraine
KHR,2004,"GLAVAS, NEJC",,,,,1986-07-15,Slovenia
AUN,2001,"GLINTIC, ALEKSANDAR",Partizan,11,Forward,2.08,1976-04-19,Serbia
JZZ,2004,"GLOVER, DION",Ulker,4,Guard,1.96,1978-10-22,United States of America
BVP,2013,"GLYNIADAKIS, ANDREAS",Lietuvos Rytas Vilnius,11,Center,2.15,1981-08-26,Greece
ASZ,2003,"GNJIDIC, BORIS",KRKA Novo Mesto,5,Forward,1.99,1967-10-09,Croatia
002859,2010,"GOBERT, RUDY",Cholet Basket,0,Center,2.1,1992-06-26,France
AKC,2000,"GOETHALS, DANIEL",Region Wallone Spirou Charleroi,,Center,2.06,1969-10-21,Belgium
000499,2013,"GOLDSBERRY, JOHN",Brose Baskets Bamberg,5,Guard,1.91,1982-10-19,United States of America
BBB,2001,"GOLDWIRE, ANTHONY",Skipper Bologna,4,Guard,1.88,1971-09-06,United States of America
AGI,2009,"GOLEMAC, JURICA",Panathinaikos,10,Center,,1977-05-29,Slovenia
AWJ,2002,"GOLJOVIC, MILJAN",Ulker,8,Forward,2.03,1971-08-27,Slovenia
LCK,2014,"GOLOVIN, DMITRY",Nizhny Novgorod,55,Guard,1.92,1988-07-14,Russian Federation
001236,2015,"GOLUBOVIC, VLADIMIR",Strasbourg,20,Center,2.12,1986-02-24,Serbia
004435,2014,"GOMES, RYAN",Laboral Kutxa Vitoria,6,Forward,2.01,1982-09-01,United States of America
